date,close,volume,open,high,low
5/6/2016,130.52,150054,128.42,130.68,127.68
5/5/2016,129.07,150934,129.22,129.3399,128
5/4/2016,129.39,223449,129.17,129.98,128.76
5/3/2016,129.83,243617,129.9,131.02,129.3
5/2/2016,130.76,191775,130.49,131.2,129.89
4/29/2016,129.64,179632,128.9,130.11,128.53
4/28/2016,129.38,199441,130.24,130.41,129
4/27/2016,130.78,194403,130.57,130.99,129.67
4/26/2016,130.97,174329,130.64,131.85,130.03
4/25/2016,130.58,178663,130.03,131.095,129.42
4/22/2016,130.57,230617,131.46,132.1,129.64
4/21/2016,131.87,272727,130.65,132.02,130.2788
4/20/2016,131.05,320436,132.79,133.4,131.01
4/19/2016,133.01,249670,132.89,133.45,132
4/18/2016,132.73,281474,132.08,133.29,131.52
4/15/2016,132.41,201799,132.04,132.99,130.56
4/14/2016,131.97,214560,132.6,132.73,129.88
4/13/2016,131.38,229212,129.81,131.7897,129.05
4/12/2016,129.37,258601,128.03,129.97,128.03
4/11/2016,128.05,217540,129.29,129.84,128.02
4/8/2016,128.52,227518,128.97,129.03,127.72
4/7/2016,128.24,313183,129.22,130.14,127.55
4/6/2016,128.72,403815,127.56,129.15,126.57
4/5/2016,127.56,298312,129.54,130.05,127.35
4/4/2016,130.13,282928,132.34,132.36,129.03
4/1/2016,132.31,300376,132.95,133.69,131.59
3/31/2016,133.7,348933,131.73,133.97,131.13
3/30/2016,131.67,215028,132.21,132.238,130.3887
3/29/2016,131.8,290278,128.33,132.06,128.075
3/28/2016,128.67,259782,127.09,128.84,126.62
3/24/2016,126.59,207548,125.59,126.64,125.025
3/23/2016,126.59,271228,127.59,128.1628,126.51
3/22/2016,127.64,228759,127.03,128.28,126.72
3/21/2016,127.85,252563,127.61,129.16,126.02
3/18/2016,127.28,841782,128.75,129.84,127.06
3/17/2016,127.98,528921,130.08,130.26,127.75
3/16/2016,129.96,243888,130.2,130.773,129.355
3/15/2016,130.65,266115,131.14,131.67,130.52
3/14/2016,131.7,241361,130.76,132.4854,130.635
3/11/2016,131.09,450587,129,132.19,128.4
3/10/2016,127.6,1034325,135.08,135.98,124.47
3/9/2016,132.91,536514,131.77,133.83,131.42
3/8/2016,131.42,347389,131.07,133.74,130
3/7/2016,130.57,274674,128.8,130.72,127.89
3/4/2016,129.88,353513,128.98,129.9,127.65
3/3/2016,128.48,324699,128.81,129.36,128.02
3/2/2016,129.08,210980,129.9,129.9,128.09
3/1/2016,129.85,219946,128.53,129.9,127.47
2/29/2016,127.41,421657,126.87,127.81,125.95
2/26/2016,126.76,208397,129.87,129.97,126.69
2/25/2016,129.37,157561,128.08,129.46,127.25
2/24/2016,127.66,218943,125.37,127.86,123.82
2/23/2016,126.62,197791,126.31,127.25,125.6601
2/22/2016,126.7,218879,128.92,129.4999,126.34
2/19/2016,127.73,215424,124.58,128.28,124.58
2/18/2016,124.66,201818,125.04,126.88,123.56
2/17/2016,125.21,296103,124.75,125.97,123.4101
2/16/2016,123.93,217982,121.85,125,120.9911
2/12/2016,120.24,215139,118.52,120.55,117.34
2/11/2016,117.19,240721,116.09,117.89,115.5
2/10/2016,117.91,190815,117.2,119.88,116.5
2/9/2016,116.39,235751,115.54,118.34,115.39
2/8/2016,117,355224,115.43,117.56,114.865
2/5/2016,116.8,271776,119.06,119.06,115.39
2/4/2016,119.85,223797,119.78,120.355,118.02
2/3/2016,119.76,216639,123.16,123.475,117.86
2/2/2016,121.94,168494,123.49,124.235,121.15
2/1/2016,124.52,196065,123.82,125.32,123.38
1/29/2016,125,295161,120.32,125,119.13
1/28/2016,119.99,194429,122.32,122.615,118.93
1/27/2016,120.99,203064,124.43,124.76,120.59
1/26/2016,124.62,237022,123.54,125.71,122.82
1/25/2016,123.18,168828,124.49,125.18,122.74
1/22/2016,124.56,285004,124.75,124.95,122.925
1/21/2016,123.3,343868,121.27,124.78,120.02
1/20/2016,121.3,339490,121.06,122.54,117.02
1/19/2016,121.95,421033,120.44,123.03,119.6268
1/15/2016,118.93,331564,119.23,120.76,116.43
1/14/2016,121.77,632589,119.1,123.68,118.85
1/13/2016,117.1,287726,122.16,122.325,116.454
1/12/2016,121.77,343769,124.18,125.19,120.77
1/11/2016,123.49,388025,120.76,123.7978,120.76
1/8/2016,120.59,230863,122.27,123.64,120.33
1/7/2016,122,230276,123.6,124.935,121.74
1/6/2016,125.95,272911,124.41,127.04,124.2301
1/5/2016,125.93,271491,124.65,126.14,124
1/4/2016,124.15,352166,126.67,126.67,123.205
12/31/2015,127.99,153123,130.09,130.26,127.99
12/30/2015,130.25,169017,130.46,131.85,130.02
12/29/2015,130.31,233414,128.43,131.16,128.43
12/28/2015,128.14,116632,127.24,128.48,126.58
12/24/2015,127.98,73820,129.2,130.51,127.69
12/23/2015,129.02,539092,125.16,130.71,125.16
12/22/2015,125.21,330935,125.15,125.9111,124.48
12/21/2015,125.06,476617,125.5,125.99,124.495
12/18/2015,124.89,696755,127.17,128.12,124.72
12/17/2015,128.03,317317,133.05,133.59,127.92
12/16/2015,132.98,334457,130.64,133.43,130.22
12/15/2015,129.74,364884,127.61,130.42,126.5
12/14/2015,126.96,361632,127.5,128.661,126.44
12/11/2015,127.67,346852,127.07,128.73,126.9543
12/10/2015,128.44,282975,127.76,128.45,126.84
12/9/2015,127.35,351873,127.66,129.79,126.85
12/8/2015,128.24,371133,125.54,128.555,124.59
12/7/2015,125.58,557002,125.52,129.49,124.31
12/4/2015,122,398211,123.33,124.915,121.47
12/3/2015,122.72,591705,123.92,125.03,122.23
12/2/2015,123.56,456894,119.43,123.94,118.29
12/1/2015,119.18,422204,121,121.45,118.3001
11/30/2015,120.6,292413,121.78,121.9,119.02
11/27/2015,120.92,97430,120.39,121.45,120.28
11/25/2015,120.61,153093,118.27,120.78,118.26
11/24/2015,118.15,218129,118.05,118.36,116.21
11/23/2015,118.66,132086,116.99,119.13,115.9759
11/20/2015,117,242231,116,117.13,115.57
11/19/2015,115.24,176276,115.51,115.985,114.87
11/18/2015,115.25,206919,115.22,116.21,114.24
11/17/2015,115.26,180870,115.68,116.42,114.86
11/16/2015,114.9,211053,114.55,115.13,112.75
11/13/2015,114.91,229592,114.18,115.47,113.6
11/12/2015,114.18,173757,115.37,115.505,113.95
11/11/2015,115.67,137501,116.69,117.73,115.2
11/10/2015,116.25,235766,114.54,116.41,114.25
11/9/2015,114.5,100564,115.59,115.59,114.066
11/6/2015,116.14,90755,115.89,116.7727,115.15
11/5/2015,116.08,102677,115.79,116.31,114.24
11/4/2015,115.98,180588,115.74,117.12,115.21
11/3/2015,114.75,126950,115.01,115.7043,113.9
11/2/2015,115.3,111301,114.43,115.78,113.46
10/30/2015,114.17,132075,114.89,115.48,113.87
10/29/2015,115.14,158049,115.1,116.52,114
10/28/2015,115.55,188703,113.52,115.6,112.67
10/27/2015,113.14,297161,113.61,114.11,112.41
10/26/2015,113.82,197476,111.8,113.98,111.54
10/23/2015,111.8,147619,111.15,111.925,110.38
10/22/2015,110.32,153263,109.78,110.57,109.25
10/21/2015,109.19,263964,109.68,109.975,107.985
10/20/2015,109.54,167635,109.41,109.87,108.72
10/19/2015,109.24,173346,108.54,109.66,108.27
10/16/2015,108.89,228580,108.94,109.42,107.79
10/15/2015,108.98,303068,108.48,109.24,106.7
10/14/2015,107.95,189170,109.19,109.4,107.54
10/13/2015,109.06,233605,108.76,110.48,108.09
10/12/2015,109.38,182798,106.92,109.59,106.6
10/9/2015,107.77,187235,106.78,108.01,106.55
10/8/2015,106.44,228553,104.17,106.6,103.95
10/7/2015,104.23,275762,104.24,104.87,103.18
10/6/2015,104.31,189447,105.71,106.2899,103.58
10/5/2015,105.87,189135,105.12,106.14,104.8
10/2/2015,104.63,259991,103.64,104.63,102.65
10/1/2015,104.24,514337,104.87,105.44,103.29
9/30/2015,104.68,648347,101.97,104.94,101.64
9/29/2015,101.26,563080,103.9,104.61,100.5
9/28/2015,103.05,629382,107.92,109.69,103
9/25/2015,107.42,368029,106.23,109.49,106.13
9/24/2015,105.46,178554,105.5,106.1,104.41
9/23/2015,105.97,172227,106.13,106.35,105.27
9/22/2015,105.76,196590,107.34,107.54,105.5
9/21/2015,108.13,328004,106.89,108.55,106.27
9/18/2015,106,229094,106.44,107.41,105.67
9/17/2015,107.64,276177,107.73,108.4975,107.15
9/16/2015,107.7,210040,106.97,107.97,106.61
9/15/2015,106.64,267757,107.85,107.85,105.985
9/14/2015,107.58,136646,108.7,109.16,107.5
9/11/2015,108.33,168032,106.7,108.75,106.7
9/10/2015,107.25,85253,106.35,107.76,105.3501
9/9/2015,106.97,135782,108.9,110.14,106.69
9/8/2015,107.77,154110,107.26,108,106.22
9/4/2015,105.84,89987,105.28,106.6,105.28
9/3/2015,106.36,170036,106.29,108.26,106.04
9/2/2015,106.32,200120,105.08,106.52,104.595
9/1/2015,104.5,366690,106.63,107.34,103.83
8/31/2015,107.91,152799,107.58,108.82,107.11
